State,Male_UDISE,Female_UDISE,Total_UDISE,Male_AISHE,Female_AISHE,Total_AISHE,Male_Drop,Female_Drop,Total_Drop,Male_Drop_Percent,Female_Drop_Percent,Total_Drop_Percent
India,672517,459020,1131537,51373,37375,88748,621144,421645,1042789,92.36,91.86,92.16
India,672517,459020,1131537,27,39,66,672490,458981,1131471,100.0,99.99,99.99
Andhra Pradesh,23363,16127,39490,1361,1167,2528,22002,14960,36962,94.17,92.76,93.6
Arunachal Pradesh,701,658,1359,24,28,52,677,630,1307,96.58,95.74,96.17
Assam,20233,15410,35643,429,232,661,19804,15178,34982,97.88,98.49,98.15
Bihar,68549,44130,112679,2732,1289,4021,65817,42841,108658,96.01,97.08,96.43
Chandigarh,578,341,919,287,151,438,291,190,481,50.35,55.72,52.34
Chhattisgarh,23986,18181,42167,799,411,1210,23187,17770,40957,96.67,97.74,97.13
Delhi,4626,3373,7999,4073,2328,6401,553,1045,1598,11.95,30.98,19.98
Goa,945,530,1475,460,144,604,485,386,871,51.32,72.83,59.05
Gujarat,21013,13514,34527,2885,2156,5041,18128,11358,29486,86.27,84.05,85.4
Haryana,6678,4066,10744,798,483,1281,5880,3583,9463,88.05,88.12,88.08
Himachal Pradesh,1618,1196,2814,335,170,505,1283,1026,2309,79.3,85.79,82.05
Odisha,45185,31475,76660,1214,806,2020,43971,30669,74640,97.31,97.44,97.36
Puducherry,408,298,706,94,193,287,314,105,419,76.96,35.23,59.35
Punjab,15554,10453,26007,599,468,1067,14955,9985,24940,96.15,95.52,95.9
Rajasthan,20063,13682,33745,3563,1661,5224,16500,12021,28521,82.24,87.86,84.52
Sikkim,391,224,615,17,3,20,374,221,595,95.65,98.66,96.75
Tamil Nadu,33274,21405,54679,4141,4670,8811,29133,16735,45868,87.55,78.18,83.89
Telangana,9020,6816,15836,2371,1618,3989,6649,5198,11847,73.71,76.26,74.81
Telangana,9020,6816,15836,12,8,20,9008,6808,15816,99.87,99.88,99.87
Tripura,919,631,1550,157,54,211,762,577,1339,82.92,91.44,86.39
Uttar Pradesh,135817,93053,228870,6006,5858,11864,129811,87195,217006,95.58,93.7,94.82
Uttarakhand,1444,1028,2472,934,730,1664,510,298,808,35.32,28.99,32.69
West Bengal,44182,31019,75201,2597,1364,3961,41585,29655,71240,94.12,95.6,94.73
India,161772,126459,288231,51373,37375,88748,110399,89084,199483,68.24,70.44,69.21
India,161772,126459,288231,27,39,66,161745,126420,288165,99.98,99.97,99.98
Andhra Pradesh,10052,7939,17991,1361,1167,2528,8691,6772,15463,86.46,85.3,85.95
Arunachal Pradesh,202,274,476,24,28,52,178,246,424,88.12,89.78,89.08
Assam,2192,1998,4190,429,232,661,1763,1766,3529,80.43,88.39,84.22
Bihar,6557,4735,11292,2732,1289,4021,3825,3446,7271,58.33,72.78,64.39
Chandigarh,654,423,1077,287,151,438,367,272,639,56.12,64.3,59.33
Chhattisgarh,3090,2978,6068,799,411,1210,2291,2567,4858,74.14,86.2,80.06
Delhi,3723,2784,6507,4073,2328,6401,-350,456,106,-9.4,16.38,1.63
Goa,491,270,761,460,144,604,31,126,157,6.31,46.67,20.63
Gujarat,5133,3269,8402,2885,2156,5041,2248,1113,3361,43.8,34.05,40.0
Haryana,2902,1975,4877,798,483,1281,2104,1492,3596,72.5,75.54,73.73
Himachal Pradesh,607,579,1186,335,170,505,272,409,681,44.81,70.64,57.42
Odisha,10816,9205,20021,1214,806,2020,9602,8399,18001,88.78,91.24,89.91
Puducherry,280,258,538,94,193,287,186,65,251,66.43,25.19,46.65
Punjab,6022,4915,10937,599,468,1067,5423,4447,9870,90.05,90.48,90.24
Rajasthan,6722,4596,11318,3563,1661,5224,3159,2935,6094,46.99,63.86,53.84
Sikkim,92,72,164,17,3,20,75,69,144,81.52,95.83,87.8
Tamil Nadu,17895,12913,30808,4141,4670,8811,13754,8243,21997,76.86,63.83,71.4
Telangana,4270,3887,8157,2371,1618,3989,1899,2269,4168,44.47,58.37,51.1
Telangana,4270,3887,8157,12,8,20,4258,3879,8137,99.72,99.79,99.75
Tripura,378,305,683,157,54,211,221,251,472,58.47,82.3,69.11
Uttar Pradesh,2654,2257,4911,6006,5858,11864,-3352,-3601,-6953,-126.3,-159.55,-141.58
Uttarakhand,351,274,625,934,730,1664,-583,-456,-1039,-166.1,-166.42,-166.24
West Bengal,12043,11447,23490,2597,1364,3961,9446,10083,19529,78.44,88.08,83.14
India,403844,306614,710458,51373,37375,88748,352471,269239,621710,87.28,87.81,87.51
India,403844,306614,710458,27,39,66,403817,306575,710392,99.99,99.99,99.99
Andhra Pradesh,17504,12536,30040,1361,1167,2528,16143,11369,27512,92.22,90.69,91.58
Arunachal Pradesh,396,631,1027,24,28,52,372,603,975,93.94,95.56,94.94
Assam,7204,6530,13734,429,232,661,6775,6298,13073,94.04,96.45,95.19
Bihar,28861,21700,50561,2732,1289,4021,26129,20411,46540,90.53,94.06,92.05
Chandigarh,847,571,1418,287,151,438,560,420,980,66.12,73.56,69.11
Chhattisgarh,13858,11577,25435,799,411,1210,13059,11166,24225,94.23,96.45,95.24
Delhi,4106,3337,7443,4073,2328,6401,33,1009,1042,0.8,30.24,14.0
Goa,762,427,1189,460,144,604,302,283,585,39.63,66.28,49.2
Gujarat,15562,10468,26030,2885,2156,5041,12677,8312,20989,81.46,79.4,80.63
Haryana,4711,3210,7921,798,483,1281,3913,2727,6640,83.06,84.95,83.83
Himachal Pradesh,1006,839,1845,335,170,505,671,669,1340,66.7,79.74,72.63
Odisha,26557,20451,47008,1214,806,2020,25343,19645,44988,95.43,96.06,95.7
Puducherry,391,343,734,94,193,287,297,150,447,75.96,43.73,60.9
Punjab,12106,8973,21079,599,468,1067,11507,8505,20012,95.05,94.78,94.94
Rajasthan,15687,11298,26985,3563,1661,5224,12124,9637,21761,77.29,85.3,80.64
Sikkim,199,164,363,17,3,20,182,161,343,91.46,98.17,94.49
Tamil Nadu,35014,22706,57720,4141,4670,8811,30873,18036,48909,88.17,79.43,84.73
Telangana,7874,6284,14158,2371,1618,3989,5503,4666,10169,69.89,74.25,71.83
Telangana,7874,6284,14158,12,8,20,7862,6276,14138,99.85,99.87,99.86
Tripura,852,590,1442,157,54,211,695,536,1231,81.57,90.85,85.37
Uttar Pradesh,50899,38446,89345,6006,5858,11864,44893,32588,77481,88.2,84.76,86.72
Uttarakhand,715,611,1326,934,730,1664,-219,-119,-338,-30.63,-19.48,-25.49
West Bengal,22923,19588,42511,2597,1364,3961,20326,18224,38550,88.67,93.04,90.68
India,60695,49435,110130,51373,37375,88748,9322,12060,21382,15.36,24.4,19.42
India,60695,49435,110130,27,39,66,60668,49396,110064,99.96,99.92,99.94
Andhra Pradesh,1814,2908,4722,1361,1167,2528,453,1741,2194,24.97,59.87,46.46
Arunachal Pradesh,50,75,125,24,28,52,26,47,73,52.0,62.67,58.4
Assam,344,302,646,429,232,661,-85,70,-15,-24.71,23.18,-2.32
Bihar,1935,1260,3195,2732,1289,4021,-797,-29,-826,-41.19,-2.3,-25.85
Chandigarh,153,151,304,287,151,438,-134,0,-134,-87.58,0.0,-44.08
Chhattisgarh,1623,1803,3426,799,411,1210,824,1392,2216,50.77,77.2,64.68
Delhi,2426,1891,4317,4073,2328,6401,-1647,-437,-2084,-67.89,-23.11,-48.27
Goa,127,77,204,460,144,604,-333,-67,-400,-262.2,-87.01,-196.08
Gujarat,2771,1636,4407,2885,2156,5041,-114,-520,-634,-4.11,-31.78,-14.39
Haryana,1091,821,1912,798,483,1281,293,338,631,26.86,41.17,33.0
Himachal Pradesh,448,399,847,335,170,505,113,229,342,25.22,57.39,40.38
Odisha,1476,1199,2675,1214,806,2020,262,393,655,17.75,32.78,24.49
Puducherry,132,148,280,94,193,287,38,-45,-7,28.79,-30.41,-2.5
Punjab,2993,3185,6178,599,468,1067,2394,2717,5111,79.99,85.31,82.73
Rajasthan,5155,3337,8492,3563,1661,5224,1592,1676,3268,30.88,50.22,38.48
Sikkim,29,17,46,17,3,20,12,14,26,41.38,82.35,56.52
Tamil Nadu,6895,5450,12345,4141,4670,8811,2754,780,3534,39.94,14.31,28.63
Telangana,947,639,1586,2371,1618,3989,-1424,-979,-2403,-150.37,-153.21,-151.51
Telangana,947,639,1586,12,8,20,935,631,1566,98.73,98.75,98.74
Tripura,129,99,228,157,54,211,-28,45,17,-21.71,45.45,7.46
Uttar Pradesh,1782,1685,3467,6006,5858,11864,-4224,-4173,-8397,-237.04,-247.66,-242.2
Uttarakhand,261,252,513,934,730,1664,-673,-478,-1151,-257.85,-189.68,-224.37
West Bengal,5617,5873,11490,2597,1364,3961,3020,4509,7529,53.77,76.78,65.53
Madhya Pradesh,36642,27491,64133,1886,708,2594,34756,26783,61539,94.85,97.42,95.96
Maharashtra,76753,48810,125563,3949,2214,6163,72804,46596,119400,94.85,95.46,95.09
Manipur,1737,1460,3197,123,110,233,1614,1350,2964,92.92,92.47,92.71
Meghalaya,1538,1120,2658,81,48,129,1457,1072,2529,94.73,95.71,95.15
Mizoram,879,734,1613,14,13,27,865,721,1586,98.41,98.23,98.33
Nagaland,936,713,1649,3,5,8,933,708,1641,99.68,99.3,99.51
